emitent,nazwa,segment,jednostka transakcyjna,kurs odniesienia**,kurs otwarcia**,kurs min,kurs max,data/czas ost. trans.,wolumen ost. trans.,kurs ostatni*,zmiana,najlepsza oferta kupna liczba zleceń,najlepsza oferta kupna wolumen,najlepsza oferta kupna limit,najlepsza oferta sprzedaży limit,najlepsza oferta sprzedaży wolumen,najlepsza oferta sprzedaży liczba zleceń,limit transakcji,obrót skumulowany wolumen,obrót skumulowany wartość (tys. PLN)
AB,ABE0726,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ARCHE,ACH0427,GPW ASO,1,"103,0000","103,0000",-,-,2024-12-20,-,"103,0000",-,-,-,-,"105,0000",7,1,1,14,"14,76"
ARCHE,ACH0725,GPW ASO,1,"102,6500",-,-,-,2024-11-28,-,"102,6500",-,1,8,"100,0200","103,9000",6,1,-,-,-
ARCHE,ACH0826,GPW ASO,1,"104,0000",-,-,-,2024-12-09,-,"104,0000",-,1,8,"102,0000",-,-,-,-,-,-
ARCHE,ACH1125,GPW ASO,1,"101,0000",-,-,-,2024-12-18,-,"101,0000",-,1,1,"100,5900","103,9800",11,1,-,-,-
ALIOR BANK,ALR0428,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ALIOR BANK,ALR0626,GPW RR,1,"101,5000",-,-,-,2024-11-22,-,"101,5000",-,-,-,-,-,-,-,-,-,-
ALIOR BANK,ALR0627,GPW ASO,1,"101,9000",-,-,-,2024-11-28,-,"101,9000",-,-,-,-,"101,9000",5,1,-,-,-
ALIOR BANK,ALR0628,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ALIOR BANK,"ALR1225
                                    

                                                                                                             /Z
                                                                          /P",GPW RR,1,"101,8000",-,-,-,2024-10-23,-,"101,8000",-,-,-,-,-,-,-,-,-,-
ANWIM,"ANW1126
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"103,6000",-,-,-,2024-10-24,-,"103,6000",-,1,158,"101,0000",-,-,-,-,-,-
AOW FAKTORING,AOW0125,GPW ASO,1,"99,2000","99,2000",-,-,2024-12-20,-,"99,2000",-,-,-,-,"100,8000",33,1,1,20,"1,01"
AOW FAKTORING,AOW0227,GPW ASO,1,"101,2000",-,-,-,2024-12-06,-,"101,2000",-,1,8,"101,2000",-,-,-,-,-,-
AOW FAKTORING,AOW1027,GPW ASO,1,"101,4900",-,-,-,2024-12-17,-,"101,4900",-,1,3,"101,2000",-,-,-,-,-,-
AOW FAKTORING,AOW1225,GPW ASO,1,"103,0000",-,-,-,2024-12-19,-,"103,0000",-,1,5,"102,5000","104,0000",10,1,-,-,-
ARCHICOM,ARH0227,GPW ASO,1,"101,6200",-,-,-,2024-06-26,-,"101,6200",-,-,-,-,-,-,-,-,-,-
ARCHICOM,ARH0325,GPW ASO,1,"101,0000",-,-,-,2024-10-23,-,"101,0000",-,1,10,"100,1000",-,-,-,-,-,-
ARCHICOM,ARH0627,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ARCHICOM,ARH0628,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ART.LOCUM,ARL1226,GPW ASO,1,"102,0000",-,-,-,2024-12-19,-,"102,0000",-,-,-,-,-,-,-,-,-,-
ATAL,ATL0525,GPW ASO,1,"99,0000",-,-,-,2024-06-26,-,"99,0000",-,1,4,"101,0000",-,-,-,-,-,-
ATAL,ATL1025,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BBI DEVELOPMENT,BBI0225,GPW ASO,1,"97,7400","96,0000",-,-,2024-12-20,-,"99,4900",-,1,15,"93,8000","99,5000",9,2,6,84,"83,75"
BANK POCZTOWY,"BPO0626
                                    
 /P",GPW ASO,1,"102,5000","102,5000",-,-,2024-12-20,-,"102,5000",-,1,53,"102,5000","102,5000",150,1,1,50,"5,15"
BEST,BS10228,GPW ASO,1,"99,7000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BEST,BS10327,GPW RR,1,"102,0000","103,0000",-,-,2024-12-20,-,"101,5000",-,1,50,"100,7000","103,0000",105,2,3,208,"21,20"
BEST,BS10829,GPW RR,1,"100,9200","101,0000",-,-,2024-12-20,-,"101,2700",-,1,11,"101,0000","101,2700",46,1,4,254,"25,91"
BEST,BST0128,GPW RR,1,"102,2000",-,-,-,2024-12-19,-,"102,2000",-,1,60,"102,3000","102,9600",52,1,-,-,-
BEST,BST0226,GPW ASO,1,"99,6300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BEST,BST0228,GPW RR,1,"102,9200","102,8700",-,-,2024-12-20,-,"102,8800",-,1,100,"102,5000","102,8800",27,2,4,41,"4,26"
BEST,BST0327,GPW RR,1,"102,5000","102,8900",-,-,2024-12-20,-,"102,9000",-,1,21,"101,7000","102,8900",37,1,2,100,"10,34"
BEST,BST0527,GPW ASO,1,"102,6500","102,5000",-,-,2024-12-20,-,"102,5000",-,1,15,"100,0000","102,6500",44,1,1,3,"3,12"
BEST,BST0726,GPW RR,1,"95,4700",-,-,-,2024-12-19,-,"95,4700",-,1,115,"95,0000","95,4000",84,1,-,-,-
BEST,BST0728,GPW RR,1,"102,9900","102,9900",-,-,2024-12-20,-,"102,9900",-,1,45,"102,4000","102,9900",162,1,1,18,"1,89"
BEST,BST0829,GPW RR,1,"101,9800","101,9900",-,-,2024-12-20,-,"102,0000",-,1,55,"101,5200","102,0000",1,1,4,330,"34,09"
BEST,BST1026,GPW RR,1,"103,0000","101,6100",-,-,2024-12-20,-,"101,5000",-,2,139,"101,5000","102,9600",37,1,6,464,"48,12"
BEST,BST1029,GPW RR,1,"99,5000","99,5900",-,-,2024-12-20,-,"99,8500",-,3,42,"99,7800","99,8500",150,1,25,824,"83,42"
BEST,BST1126,GPW ASO,1,"101,2000",-,-,-,2024-12-11,-,"101,2000",-,1,21,"101,2000",-,-,-,-,-,-
BEST,BST1226,GPW RR,1,"101,1000","102,0000",-,-,2024-12-20,-,"102,4900",-,1,100,"101,1100","102,4800",80,1,11,1691,"171,45"
BUDLEX FINANCE,BXF0727,GPW ASO,1,"102,5000",-,-,-,2024-12-17,-,"102,5000",-,1,5,"100,0000","102,3900",3,1,-,-,-
BUDLEX FINANCE,BXF1027,GPW ASO,1,"100,9500",-,-,-,2024-12-19,-,"100,9500",-,1,4,"100,0600","101,6300",51,1,-,-,-
BUDLEX FINANCE,BXF1126,GPW ASO,1,"101,0000","102,0000",-,-,2024-12-20,-,"102,0000",-,1,1,"102,0000","103,9800",8,2,2,32,"18,45"
BUDLEX FINANCE,BXF1226,GPW ASO,1,"101,9500",-,-,-,2024-12-19,-,"101,9500",-,1,5,"100,5000","103,1800",10,1,-,-,-
CAVATINA HOLDING,CA11225,GPW RR,1,"98,8900","99,6200",-,-,2024-12-20,-,"99,6300",-,1,5,"98,6000","99,9000",10,1,2,11,"10,96"
CAVATINA HOLDING,CAV0327,GPW RR,1,"96,1100","96,1600",-,-,2024-12-20,-,"97,8900",-,1,3,"96,7000","97,8800",6,1,2,33,"32,77"
CAVATINA HOLDING,CAV0526,GPW RR,1,"99,5500","99,0000",-,-,2024-12-20,-,"99,0000",-,1,8,"97,2800","99,5000",5,1,1,8,"8,02"
CAVATINA HOLDING,CAV0627,GPW RR,1,"97,1900","97,2000",-,-,2024-12-20,-,"97,2000",-,1,5,"96,8000","97,4000",10,1,4,13,"12,66"
CAVATINA HOLDING,CAV0925,GPW RR,1,"99,1000","98,0000",-,-,2024-12-20,-,"98,9500",-,1,10,"99,1500","99,4500",2,1,2,44,"44,73"
CAVATINA HOLDING,CAV0927,GPW ASO,1,"96,0000","96,1200",-,-,2024-12-20,-,"96,1200",-,1,5,"96,2100","98,7100",8,1,1,20,"19,93"
CAVATINA HOLDING,CAV0928,GPW RR,1,"98,1800",-,-,-,2024-12-18,-,"98,1800",-,1,96,"96,0100","97,8900",100,1,-,-,-
CAVATINA HOLDING,CAV1127,GPW ASO,1,"98,0000","98,2000",-,-,2024-12-20,-,"98,2000",-,1,22,"97,0100","98,9700",50,1,2,75,"7,48"
CAVATINA HOLDING,CAV1128,GPW RR,1,"97,0000","97,4700",-,-,2024-12-20,-,"97,9900",-,1,100,"97,0000","98,4400",62,1,19,1485,"146,43"
CAVATINA HOLDING,CAV1225,GPW RR,1,"98,4000","98,5000",-,-,2024-12-20,-,"99,9900",-,1,3,"99,5000","99,8500",5,1,7,39,"38,65"
CAVATINA HOLDING,CAV1226,GPW RR,1,"99,0000","99,0000",-,-,2024-12-20,-,"99,0000",-,1,10,"98,0000","98,9900",4,3,1,4,"3,99"
CAVATINA HOLDING,CAV1227,GPW RR,1,"98,2200","98,2200",-,-,2024-12-20,-,"98,6100",-,1,100,"98,0000","98,6100",90,1,7,226,"22,25"
CCC,"CCC0626
                                    

                                                                                                             /Z",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CCC,"CCC0626
                                    

                                                                                                             /Z",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CCC,"CCC0626
                                    

                                                                                                             /Z",GPW ASO,1,"100,2800",-,-,-,2024-12-13,-,"100,2800",-,-,-,-,-,-,-,-,-,-
CCC,"CCC0626
                                    

                                                                                                             /Z",GPW ASO,1,"100,2800",-,-,-,2024-12-13,-,"100,2800",-,-,-,-,-,-,-,-,-,-
COGNOR,CO10129,GPW ASO,1,"96,0000","96,0000",-,-,2024-12-20,-,"96,0000",-,1,4,"96,0000","97,5500",19,1,1,5,"5,03"
COGNOR,COG0129,GPW ASO,1,"96,0000","96,0000",-,-,2024-12-20,-,"96,0000",-,1,20,"95,2500","96,0000",40,1,6,47,"47,26"
CORDIA POLSKA FINANCE,CPF1227,GPW ASO,1,"100,9900","100,9900",-,-,2024-12-20,-,"100,9900",-,2,12,"100,5000","100,9900",28,1,3,14,"14,17"
CYFROWY POLSAT,"CPS0130
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"101,9900","101,9900",-,-,2024-12-20,-,"102,0000",-,1,1,"101,8100","102,0000",91,1,13,221,"235,24"
DANTEX GROUP,DAN0126,GPW ASO,1,"102,0000","101,5000",-,-,2024-12-20,-,"101,5000",-,1,3,"99,9200","102,0000",56,1,1,66,"68,22"
DEKPOL,"DEK0626
                                    

                                                                                                             /Z",GPW RR,1,"100,5000",-,-,-,2024-12-17,-,"100,5000",-,-,-,-,-,-,-,-,-,-
DEKPOL,DEK0628,GPW ASO,1,"101,7000","101,7000",-,-,2024-12-20,-,"101,7000",-,1,5,"100,5100","101,7000",4,1,1,2,"2,05"
DEKPOL,DEK1228,GPW ASO,1,"100,1000","100,2000",-,-,2024-12-20,-,"100,2000",-,2,22,"100,0200","100,2000",41,1,14,208,"209,51"
DEKPOL,DKP0225,GPW RR,1,"100,5000","100,2300",-,-,2024-12-20,-,"100,0100",-,1,1,"100,0100","100,4800",3,1,6,25,"25,36"
DEKPOL,"DKP0626
                                    

                                                                                                             /Z",GPW RR,1,"100,2400",-,-,-,2024-12-17,-,"100,2400",-,-,-,-,-,-,-,-,-,-
DEKPOL,"DKP0925
                                    

                                                                                                             /Z",GPW RR,1,"100,2000",-,-,-,2024-12-10,-,"100,2000",-,-,-,-,-,-,-,-,-,-
DINO POLSKA,DNP1025,GPW ASO,1,"100,4600",-,-,-,2024-12-11,-,"100,4600",-,2,4,"100,5100","104,9900",4,1,-,-,-
DOM DEVELOPMENT,DOM0526,GPW ASO,1,"101,0000",-,-,-,2024-11-25,-,"101,0000",-,-,-,-,"101,9400",25,1,-,-,-
DOM DEVELOPMENT,DOM0925,GPW ASO,1,"101,0000",-,-,-,2024-06-25,-,"101,0000",-,-,-,-,-,-,-,-,-,-
DOM DEVELOPMENT,DOM0928,GPW ASO,1,"100,0000",-,-,-,2024-12-02,-,"100,0000",-,-,-,-,-,-,-,-,-,-
DOMESTA,DST1126,GPW ASO,1,"103,8000",-,-,-,2024-12-19,-,"103,8000",-,1,3,"100,0200","103,7900",13,1,-,-,-
DEVELIA,DVL0326,GPW ASO,1,"107,0000",-,-,-,2024-12-17,-,"107,0000",-,1,10,"105,6000","107,0000",10,1,-,-,-
DEVELIA,DVL0528,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DEVELIA,DVL0726,GPW ASO,1,"102,9500",-,-,-,2024-08-08,-,"102,9500",-,1,3,"102,9500",-,-,-,-,-,-
DEVELIA,DVL1028,GPW ASO,1,"100,0100",-,-,-,2024-11-22,-,"100,0100",-,1,3,"100,0000","103,9900",6,2,-,-,-
DEVELIA,"DVL1225
                                    

                                                                                                             /Z",GPW RR,1,"101,9000",-,-,-,2024-12-09,-,"101,9000",-,-,-,-,-,-,-,-,-,-
DEVELIA,DVL1227,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DEVELOPRES,DVR0726,GPW ASO,1,"101,5000","101,7900",-,-,2024-12-20,-,"101,7900",-,1,4,"100,8200","101,7800",19,1,2,4,"4,16"
DEVELOPRES,DVR1226,GPW ASO,1,"100,1200",-,-,-,2024-12-04,-,"100,1200",-,1,4,"100,6600","104,0000",10,1,-,-,-
ECHO INVESTMENT,ECH0125,GPW RR,1,"100,1800","100,0000",-,-,2024-12-20,-,"100,0000",-,1,185,"100,0000","100,1600",35,1,2,65,"6,80"
ECHO INVESTMENT,ECH0128,GPW RR,1,"101,7200","101,7300",-,-,2024-12-20,-,"101,7300",-,1,31,"101,7200","101,7300",82,1,8,541,"57,21"
ECHO INVESTMENT,ECH0226,GPW RR,1,"101,6600",-,-,-,2024-12-19,-,"101,6600",-,1,250,"101,6600","102,3000",200,1,-,-,-
ECHO INVESTMENT,ECH0229,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ECHO INVESTMENT,ECH0426,GPW RR,1,"101,5000",-,-,-,2024-12-18,-,"101,5000",-,1,100,"101,2300","101,9900",19,1,-,-,-
ECHO INVESTMENT,ECH0428,GPW RR,1,"101,7100","101,7000",-,-,2024-12-20,-,"102,1900",-,1,600,"102,0000","102,3400",225,1,6,1325,"137,19"
ECHO INVESTMENT,ECH0528,GPW ASO,1,"102,2000",-,-,-,2024-09-23,-,"102,2000",-,1,3,"102,2000",-,-,-,-,-,-
ECHO INVESTMENT,ECH0529,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ECHO INVESTMENT,ECH0626,GPW RR,1,"101,8000","101,7500",-,-,2024-12-20,-,"101,9400",-,1,19,"101,5000","101,9400",100,1,2,183,"18,64"
ECHO INVESTMENT,ECH0627,GPW RR,1,"101,7400","101,7700",-,-,2024-12-20,-,"101,7600",-,1,100,"101,4000","101,7600",14,1,3,59,"6,00"
ECHO INVESTMENT,ECH0829,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ECHO INVESTMENT,ECH0926,GPW RR,1,"102,0000",-,-,-,2024-12-19,-,"102,0000",-,2,125,"101,3400","102,3300",100,1,-,-,-
ECHO INVESTMENT,ECH1127,GPW RR,1,"101,6900",-,-,-,2024-12-19,-,"101,6900",-,1,100,"101,1200","101,9500",100,1,-,-,-
ECHO INVESTMENT,ECH1227,GPW ASO,1,"99,0500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EUROPEJSKI BANK,EIB0925,GPW RR,1,"99,6900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ENEA,ENA0527,GPW ASO,1,"100,8500",-,-,-,2024-07-31,-,"100,8500",-,-,-,-,-,-,-,-,-,-
ENEA,ENA0530,GPW ASO,1,"102,5000",-,-,-,2024-10-31,-,"102,5000",-,1,2,"100,0000",-,-,-,-,-,-
ERBUD,ERB0925,GPW ASO,1,"100,3000",-,-,-,2024-12-19,-,"100,3000",-,1,15,"99,5000","100,3000",1,1,-,-,-
EUROCASH,EUR1225,GPW ASO,1,"100,0000",-,-,-,2024-12-19,-,"100,0000",-,1,10,"100,1000","100,3400",6,1,-,-,-
GHELAMCO INVEST,"GHE0128
                                    

                                                                                                            
                                                                                                             /S",GPW RR,1,"100,7900","100,6400",-,-,2024-12-20,-,"101,2000",-,1,88,"101,0000","101,2000",26,1,15,2172,"230,61"
GHELAMCO INVEST,"GHE0226
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"100,5000","100,5000",-,-,2024-12-20,-,"100,9600",-,1,20,"100,5100","100,9600",49,3,13,116,"122,00"
GHELAMCO INVEST,"GHE0327
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"100,5000","100,5000",-,-,2024-12-20,-,"101,0000",-,2,20,"101,0000","101,1000",20,1,6,66,"68,15"
GHELAMCO INVEST,"GHE0728
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"100,4000","100,4000",-,-,2024-12-20,-,"100,7900",-,1,13,"100,6000","100,7900",42,1,5,62,"65,45"
GHELAMCO INVEST,"GHE1027
                                    

                                                                                                            
                                                                                                             /S",GPW RR,1,"101,0000","101,3000",-,-,2024-12-20,-,"101,5000",-,3,1858,"101,0000","101,5000",628,2,5,601,"61,92"
GHELAMCO INVEST,"GHE1127
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"100,5000","100,9800",-,-,2024-12-20,-,"100,9800",-,1,20,"100,9000","101,9900",116,1,1,22,"22,48"
GHELAMCO INVEST,"GHE1128
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"100,7500","100,7400",-,-,2024-12-20,-,"100,6000",-,1,10,"100,5400","100,6500",125,1,14,414,"422,33"
GHELAMCO INVEST,GHI0725,GPW ASO,1,"100,8800","100,5000",-,-,2024-12-20,-,"100,5000",-,1,15,"100,3000","100,8800",90,1,1,10,"10,54"
