emitent,nazwa,segment,jednostka transakcyjna,kurs odniesienia**,kurs otwarcia**,kurs min,kurs max,data/czas ost. trans.,wolumen ost. trans.,kurs ostatni*,zmiana,najlepsza oferta kupna liczba zleceń,najlepsza oferta kupna wolumen,najlepsza oferta kupna limit,najlepsza oferta sprzedaży limit,najlepsza oferta sprzedaży wolumen,najlepsza oferta sprzedaży liczba zleceń,limit transakcji,obrót skumulowany wolumen,obrót skumulowany wartość (tys. PLN),Bond Name,Nominal Value,Maturity Date,Days to Maturity,Days to Next Payment,Interest Type,Nominal Margin,Current Period Interest
AB,ABE0726,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ABE0726,"10,000.00",2026-07-14,568.0,23,CB-FC-PPzmienne (WIBOR6M + marża),2.50%,8.37%
ARCHE,ACH0427,GPW ASO,1,"103,0000","103,0000",-,-,2024-12-20,-,"103,0000",-,-,-,-,"105,0000",7,1,1,14,"14,76",ACH0427,"1,000.00",2027-04-02,830.0,11,CB-FC-PPzmienne (WIBOR3M + marża),4.40%,10.25%
ARCHE,ACH0725,GPW ASO,1,"102,6500",-,-,-,2024-11-28,-,"102,6500",-,1,8,"100,0200","103,9000",6,1,-,-,-,ACH0725,"1,000.00",2025-07-22,211.0,31,CB-FC-PPzmienne (WIBOR3M + marża),4.70%,10.56%
ARCHE,ACH0826,GPW ASO,1,"104,0000",-,-,-,2024-12-09,-,"104,0000",-,1,8,"102,0000",-,-,-,-,-,-,ACH0826,"1,000.00",2026-08-18,603.0,58,CB-FC-PPzmienne (WIBOR3M + marża),4.20%,10.05%
ARCHE,ACH1125,GPW ASO,1,"101,0000",-,-,-,2024-12-18,-,"101,0000",-,1,1,"100,5900","103,9800",11,1,-,-,-,ACH1125,"1,000.00",2025-11-03,315.0,43,CB-FC-PPzmienne (WIBOR3M + marża),4.70%,10.56%
ALIOR BANK,ALR0428,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ALR0428,"500,000.00",2028-04-14,1208.0,113,CB-FC-PPzmienne (WIBOR6M + marża),2.07%,7.90%
ALIOR BANK,ALR0626,GPW RR,1,"101,5000",-,-,-,2024-11-22,-,"101,5000",-,-,-,-,-,-,-,-,-,-,ALR0626,"1,000.00",2026-06-26,550.0,4,CB-FC-POzmienne (WIBOR6M + marża),3.10%,8.96%
ALIOR BANK,ALR0627,GPW ASO,1,"101,9000",-,-,-,2024-11-28,-,"101,9000",-,-,-,-,"101,9000",5,1,-,-,-,ALR0627,"500,000.00",2027-06-15,904.0,175,CB-FC-PPzmienne (WIBOR6M + marża),2.81%,8.59%
ALIOR BANK,ALR0628,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ALR0628,"500,000.00",2028-06-09,1264.0,169,CB-FC-PPzmienne (WIBOR6M + marża),1.99%,7.77%
ALIOR BANK,"ALR1225
                                    

                                                                                                             /Z
                                                                          /P",GPW RR,1,"101,8000",-,-,-,2024-10-23,-,"101,8000",-,-,-,-,-,-,-,-,-,-,,,,,,,,
