emitent,nazwa,segment,jednostka transakcyjna,kurs odniesienia**,kurs otwarcia**,kurs min,kurs max,data/czas ost. trans.,wolumen ost. trans.,kurs ostatni*,zmiana,najlepsza oferta kupna liczba zleceń,najlepsza oferta kupna wolumen,najlepsza oferta kupna limit,najlepsza oferta sprzedaży limit,najlepsza oferta sprzedaży wolumen,najlepsza oferta sprzedaży liczba zleceń,limit transakcji,obrót skumulowany wolumen,obrót skumulowany wartość (tys. PLN),data pobrania
ARCHE,ACH0427,GPW ASO,1,"107,0000","103,2000","103,0000","103,2000",09:02:19,5,"103,0000",-3.74,1,4,"100,5000","103,0000",4,1,4,16,"16,61",2025-01-29 11:53:04
ARCHE,ACH0725,GPW ASO,1,"100,0400",-,-,-,2025-01-15,-,"100,0400",-,1,5,"100,1600","103,8500",6,1,-,-,-,2025-01-29 11:53:04
ARCHE,ACH0826,GPW ASO,1,"101,5000","103,9900","103,9900","103,9900",10:56:32,1,"103,9900",2.45,1,5,"101,3600","103,9900",14,2,1,1,"1,06",2025-01-29 11:53:04
ARCHE,ACH1125,GPW ASO,1,"102,0000",-,-,-,2025-01-24,-,"102,0000",-,1,7,"102,0000","102,4000",10,1,-,-,-,2025-01-29 11:53:04
ALIOR BANK,ALR0428,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
ALIOR BANK,ALR0626,GPW RR,1,"102,5000",-,-,-,2025-01-15,-,"102,5000",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
ALIOR BANK,ALR0627,GPW ASO,1,"102,2500",-,-,-,2025-01-28,-,"102,2500",-,1,1,"101,7200","102,2500",5,1,-,-,-,2025-01-29 11:53:04
ALIOR BANK,ALR0628,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
ANWIM,ANW1126,GPW ASO,1,"107,9000",-,-,-,2025-01-03,-,"107,9000",-,1,3,"102,0000","107,0000",2,1,-,-,-,2025-01-29 11:53:04
ANWIM,ANW1227,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,1,6,"100,2000",-,-,-,-,-,-,2025-01-29 11:53:04
AOW FAKTORING,AOW0227,GPW ASO,1,"103,0000",-,-,-,2025-01-17,-,"103,0000",-,1,5,"102,5900",-,-,-,-,-,-,2025-01-29 11:53:04
AOW FAKTORING,AOW1027,GPW ASO,1,"103,2000",-,-,-,2025-01-17,-,"103,2000",-,1,100,"101,2000","103,2000",54,1,-,-,-,2025-01-29 11:53:04
AOW FAKTORING,AOW1225,GPW ASO,1,"103,0000","103,3000","103,3000","103,3000",09:33:09,29,"103,3000",0.29,1,30,"102,5000","103,5000",10,1,1,29,"30,41",2025-01-29 11:53:04
ARCHICOM,ARH0227,GPW ASO,1,"101,6200",-,-,-,2024-06-26,-,"101,6200",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
ARCHICOM,ARH0325,GPW ASO,1,"101,0000",-,-,-,2024-10-23,-,"101,0000",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
